gene	transcript	GFP1	GFP2	GFP3	NFYA_DN1	NFYA_DN2	NFYA_DN3	PBCAB1	PBCAB2	PBCAB3
gig2d	NM_001245987	0.20	0.11	0.00	0.00	0.08	0.00	0.25	0.21	0.11
gorasp1a	NM_001007411	42.88	50.52	44.74	49.49	46.40	50.37	50.41	47.94	53.54
cyp2ad6	NM_001082936	0.00	0.00	0.00	0.00	0.07	0.21	0.00	0.00	0.00
gcshb	NM_001002579	40.79	36.54	26.56	45.96	37.31	23.97	26.78	16.70	23.39
anp32e	NM_213277	565.78	577.03	440.27	509.32	607.60	699.77	676.01	488.40	702.64
fam167ab	NM_001025550	8.10	8.06	15.04	8.47	7.61	2.19	1.69	5.83	2.75
ilf3b	NM_212599	551.64	569.69	356.91	461.81	501.31	622.94	625.73	478.71	597.21
kdm5ba	NM_001128327	65.21	70.18	55.00	54.21	54.93	79.33	153.73	62.18	127.73
ptger2a	NM_200635	1.24	1.08	2.09	1.37	1.51	1.31	0.80	2.40	1.21
tmem214	NM_001256176	118.75	111.25	119.24	144.79	150.71	145.81	105.24	128.57	115.41
faua	NM_200737	2099.48	1882.60	2301.58	1713.00	1745.09	1609.19	1971.05	2107.53	2017.68
col15a1b	NM_001172370	49.00	57.85	69.17	43.90	35.22	17.59	27.35	56.64	35.95
plp1a	NM_175576	2.88	2.70	16.98	4.72	3.58	1.21	0.84	4.06	1.76
rc3h1a	NM_001082859	26.69	35.76	22.56	28.03	26.28	28.22	33.46	34.87	37.61
eif4ebp3	NM_001007354	59.50	65.22	43.89	71.31	63.58	62.76	63.48	48.78	64.97
sirt3	NM_001080174	5.05	5.09	4.45	4.23	3.75	2.60	4.29	5.54	5.09
stm	NM_198817	124.07	144.29	109.15	153.32	148.47	193.03	278.23	92.27	253.64
sgut1	NM_001007361	40.19	38.10	46.01	58.08	64.79	66.20	31.06	62.64	38.31
zgc:101560	NM_001005998,NR_130146	0.00	0.13	0.06	0.07	0.07	0.00	0.15	0.00	0.07
dbi	NM_001309163,NM_199608	305.98	285.04	404.93	380.03	360.77	295.55	194.05	371.83	240.83
zgc:110158	NM_001020567	78.82	78.09	46.46	49.84	48.95	65.68	137.44	88.97	118.00
galnt18a	NM_001130648	0.00	0.00	0.05	0.16	0.16	0.16	0.12	0.75	0.28
adarb1a	NM_131610	4.46	5.85	5.24	4.52	4.30	5.53	3.23	4.64	4.18
crabp2a	NM_182859	85.52	91.64	134.30	77.64	72.88	51.54	33.91	85.58	54.73
ciao1	NM_200147	28.14	25.93	39.50	32.74	32.03	23.99	19.64	30.88	22.55
leng1	NM_001004591	18.30	18.43	19.47	16.82	14.94	15.63	19.33	17.91	20.04
ppm1la	NM_001077600	18.55	21.46	18.97	13.18	13.12	13.08	18.29	18.22	15.75
hibch	NM_001014316	12.29	11.56	17.43	16.84	18.19	16.08	9.46	15.42	10.57
appl2	NM_001128075	7.68	9.24	10.22	24.92	25.61	37.64	11.29	12.17	11.63
prkrip1	NM_001017896	53.06	48.26	50.61	47.99	53.10	47.51	58.60	56.72	55.42
znf1124	NM_001109862	61.57	68.25	64.58	47.91	49.59	59.99	91.04	58.60	84.95
rbm42	NM_001003850	69.55	65.22	69.37	65.53	69.06	61.46	59.64	73.61	62.67
med8	NM_207083	33.02	31.48	27.98	32.25	35.54	33.15	41.67	26.39	43.47
lancl2	NM_001083003	15.85	16.26	18.90	21.27	19.57	19.47	22.33	19.38	22.51
wif1	NM_131229	25.53	24.62	24.86	22.06	20.35	21.11	24.00	23.67	23.90
zgc:101744	NM_001013536	126.75	125.86	111.51	155.82	145.70	152.72	127.05	118.97	119.83
setd7	NM_001002456	17.57	16.96	22.47	28.39	26.29	21.33	14.49	20.45	14.59
matn3b	NM_001012385	0.14	0.29	0.61	0.14	0.00	0.07	0.08	0.00	0.22
txn2	NM_205641	87.75	79.05	74.10	79.89	82.27	83.72	83.43	86.01	81.43
taf2	NM_001003835	68.40	74.77	71.12	65.47	69.66	70.88	84.32	73.77	84.84
lzts2a	NM_001145606	17.91	23.16	18.53	19.53	18.79	20.35	23.19	22.19	21.85
psma5	NM_205708	214.55	227.11	282.21	210.49	212.56	188.51	150.19	215.53	163.32
cfap36	NM_001040322	59.24	56.08	55.52	54.85	57.80	62.83	71.25	56.36	68.44
si:dkey-88n24.8	NM_001030093	0.00	0.00	0.00	0.37	0.00	0.36	0.15	0.00	0.00
faah2b	NM_001077462	1.00	0.68	0.70	1.36	1.09	0.92	1.06	1.04	1.39
mpp1	NM_214692	120.80	129.90	99.34	192.49	189.16	204.37	129.61	138.13	130.97
alkbh3	NM_001003511	10.82	8.38	8.04	8.65	7.57	6.82	12.58	6.66	9.66
man1b1	NM_001099979	9.87	13.45	11.89	15.48	13.07	11.83	7.66	10.62	7.49
rln3a	NM_001037803	0.00	0.00	0.00	0.25	0.00	2.43	0.00	3.41	0.25
acy1	NM_001272080,NM_200995	7.57	7.30	9.03	11.27	10.71	9.73	7.10	10.91	7.80
dhrs12	NM_001076557	24.30	27.02	26.29	39.30	38.20	38.20	20.87	30.54	22.92
tp53i11b	NM_001077249	4.22	5.34	5.70	3.51	3.44	2.66	8.39	10.14	10.29
zgc:92880	NM_001003431	0.40	0.21	0.40	0.00	0.00	0.21	0.00	0.00	0.00
canx	NM_213448	470.50	486.96	475.90	319.24	309.13	260.29	382.33	473.05	419.19
rif1	NM_001080806	69.73	78.21	76.57	65.25	63.90	64.49	79.35	79.44	78.70
pdgfra	NM_131459	18.28	21.30	28.69	20.59	18.41	11.01	12.68	20.19	14.51
slc25a46	NM_001002558	4.26	5.13	6.09	6.54	6.96	6.10	3.06	5.95	3.73
zgc:173624	NM_001109725	6.36	5.75	5.73	4.62	4.80	5.65	10.22	6.70	10.03
ndufaf7	NM_001076763	15.20	15.67	17.60	31.08	24.12	23.38	25.45	19.32	18.99
aldh3a2a	NM_212649	8.43	8.10	11.52	7.68	7.59	7.20	8.89	11.30	11.27
zgc:110249	NM_001020577	33.09	33.71	30.98	30.33	29.99	35.40	49.11	33.28	47.53
rhoub	NM_001017784	33.00	40.73	64.84	39.60	33.38	19.04	19.49	58.03	31.77
gsk3ab	NM_131390	126.59	136.71	110.12	120.04	127.26	133.58	154.96	131.57	155.36
tapbp.1	NM_130974	1.49	1.10	1.50	0.56	1.55	0.65	0.00	0.76	0.37
zgc:154006	NM_001080004	0.27	0.34	0.16	0.17	0.44	0.56	0.00	0.22	0.12
si:dkey-261j4.3	NM_001166445	7.03	6.88	7.30	13.17	13.94	17.82	16.11	9.71	16.41
prtga	NM_001045030	33.49	54.22	38.43	54.58	41.48	40.26	46.20	45.31	44.90
mib2	NM_001079678	5.03	4.81	3.21	3.71	3.18	4.83	10.63	5.35	8.61
nxnl1	NM_001110760	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
slc9a2	NM_001114095	6.41	6.50	3.83	7.56	8.43	11.94	13.14	6.58	13.92
parla	NM_001014298	0.69	0.98	2.12	1.77	2.25	1.43	0.45	2.09	1.01
cx32.3	NM_199612	0.00	0.16	0.45	0.24	0.16	0.08	0.00	0.24	0.33
vamp3	NM_001002073	172.97	181.32	187.34	192.69	210.89	209.29	197.68	165.09	202.30
nfr	NR_040606,NR_040607	17.85	17.56	11.51	12.15	11.80	10.57	11.36	7.59	12.46
phb2a	NM_199681	30.45	35.54	49.53	42.21	43.58	35.62	19.48	42.04	25.26
eif4ebp1	NM_199645	242.04	239.08	240.55	286.40	267.38	208.68	163.63	221.78	180.90
tle2	NM_001130604	278.94	288.23	230.48	204.61	213.13	224.74	305.92	229.57	284.26
prkar1ab	NM_001017732	9.19	12.36	10.23	12.61	11.17	8.37	11.33	12.60	12.19
hist1h4l	NM_001105706	4.99	4.28	2.09	31.46	29.41	25.88	4.24	1.57	1.54
slc35a3a	NM_001123249	15.34	14.85	12.11	17.43	16.56	16.76	14.76	16.33	16.21
zgc:171579	NM_001113581	0.00	0.00	0.05	0.05	0.05	0.00	0.00	0.05	0.05
tlr9	NM_001130594	0.00	0.00	0.33	0.06	0.03	0.03	0.00	0.03	0.03
zcchc10	NM_001089339	26.33	29.15	31.43	25.18	24.41	32.96	47.75	30.97	43.00
LOC571912	NM_001200022	9.11	9.83	12.18	13.42	13.98	10.62	7.38	10.73	9.14
sepw2a	NM_194417	147.12	164.01	190.27	149.57	144.64	109.90	140.21	144.85	151.82
lipt2	NM_001039993	5.37	7.69	6.52	8.12	10.52	7.65	5.65	9.58	6.49
grpel2	NM_001288663	72.32	72.00	70.23	63.72	70.09	73.97	76.74	66.18	77.29
glrba	NM_131781	0.04	0.04	0.00	0.09	0.04	0.17	0.00	0.09	0.00
zgc:123077	NM_001038498	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
tra2b	NM_201197	114.84	119.24	132.80	117.49	125.91	119.38	105.11	141.33	109.35
fanca	NM_001040635	10.12	10.81	9.52	8.70	7.22	4.68	7.44	5.94	6.76
bckdha	NM_001024419	50.60	55.86	53.12	62.03	63.69	52.62	44.97	50.25	48.34
gria2a	NM_131894	0.98	1.28	0.76	1.76	1.58	0.98	2.92	2.04	2.48
gps2	NM_200973	52.44	54.59	46.09	51.62	50.88	57.12	66.15	51.53	63.81
rln	NR_036628	0.35	0.61	0.17	0.31	0.28	0.28	0.12	0.36	0.23
LOC567472	NM_001128541	0.10	0.00	0.00	0.20	0.10	0.61	0.23	0.10	0.00
slc35b2	NM_205635	16.42	15.00	17.80	20.19	17.60	15.71	15.79	17.84	16.83
helt	NM_207065	2.91	2.60	5.15	3.06	3.00	1.57	0.52	2.25	0.58
rspry1	NM_001045072	27.71	28.70	31.58	32.28	32.07	29.87	25.06	29.32	26.80
spg20b	NM_001045451	1.00	1.21	1.54	2.51	2.62	1.93	1.02	1.45	0.92
hcar1-1	NM_001163292	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00
rwdd	NM_001005985,NM_001320090	33.01	32.58	32.89	29.54	29.89	31.44	38.73	31.53	38.39
si:ch211-244o22.2	NM_001082823	63.76	66.95	72.13	61.85	60.82	53.93	54.38	70.50	60.03
rpusd1	NM_001076753	6.92	8.58	7.01	6.35	8.62	6.10	10.71	6.90	9.83
suv420h1	NM_001007337	43.96	45.94	42.78	37.96	39.83	38.79	36.58	48.44	38.70
zgc:110204	NM_001017822	0.08	0.00	0.17	0.00	0.00	0.00	0.00	0.09	0.00
faub	NM_001017866	44.18	50.66	55.90	76.89	82.15	103.14	51.56	64.94	57.91
npy4r	NM_131440	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
grm4	NM_001302241	3.61	4.39	3.72	11.60	9.15	9.50	5.75	3.97	6.28
bzw2	NM_200918	5.89	4.99	6.88	7.50	7.82	5.67	3.06	8.94	4.21
mtx1b	NM_001007280	10.02	11.26	16.31	11.88	11.06	9.43	7.16	10.54	7.74
zgc:173593	NM_001109705	24.54	25.97	7.00	24.13	23.58	25.39	13.27	16.14	18.31
acbd3	NM_212997	27.93	27.29	31.66	39.29	37.05	31.42	25.68	31.69	23.84
zgc:153615	NM_001077791	1.33	1.22	2.81	1.16	0.80	1.50	2.65	1.39	2.68
mir489	NR_030244	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
scn3b	NM_001080802	0.20	0.53	0.30	0.32	0.31	0.00	0.12	0.21	0.33
zgc:171699	NM_001109737	0.08	0.08	0.08	0.57	0.40	0.48	0.18	0.48	0.25
znhit3	NM_200273	26.32	26.11	29.01	28.97	24.83	21.85	18.69	20.73	18.33
chst3b	NM_001110376	2.27	1.50	2.42	2.20	1.38	1.75	1.41	3.68	2.71
bxdc2	NM_001172556	235.72	221.60	194.27	225.47	207.43	226.69	205.00	180.98	206.00
galcb	NM_213111	16.80	18.39	17.45	22.38	21.89	21.21	18.08	23.25	19.27
abcd3b	NM_001130620	8.32	8.19	12.06	10.82	11.02	14.54	10.09	8.79	11.80
tmem154	NM_001130587	18.29	18.52	19.60	17.41	17.55	16.79	15.17	20.57	21.56
tbl3	NM_001007402	111.41	111.59	99.47	104.63	104.23	99.14	104.25	95.18	106.09
atp6v0cb	NM_205554	35.25	34.78	30.26	57.98	56.60	64.73	46.84	45.15	45.27
tead3b	NM_001109724	54.28	61.02	57.96	60.73	55.89	57.74	72.78	58.35	67.70
ctps1a	NM_199211	219.81	216.21	229.77	228.91	230.00	233.97	180.74	221.43	189.80
atg3	NM_200022	41.58	40.52	48.87	47.89	49.33	44.55	39.09	43.35	43.73
xpr1a	NM_001245100	0.43	0.05	0.22	0.55	0.22	0.72	0.31	0.36	0.37
hydin	NM_001114415	0.51	0.80	0.47	0.12	0.12	0.16	0.93	0.87	0.82
bmpr2a	NM_001039817	3.24	3.83	3.12	2.46	2.60	2.47	3.92	3.39	3.77
rhbdd3	NM_001128359	1.89	2.04	1.94	3.90	3.40	3.26	2.69	3.08	2.61
eng1a	NM_131045	0.17	0.18	0.39	0.53	0.41	0.24	0.27	0.06	0.12
si:dkey-15j16.2	NM_001079836	30.19	26.75	25.44	38.44	35.00	29.32	28.17	29.60	30.41
itsn1	NM_207182	28.12	33.12	27.25	34.03	30.51	30.29	41.49	30.02	39.22
th	NM_131149	0.21	0.22	0.00	0.14	0.14	0.00	0.25	0.07	0.30
cdkal1	NM_200627	53.93	51.96	58.97	58.10	59.61	57.35	41.57	47.71	44.52
zgc:136353	NM_001045275	33.32	33.39	26.93	48.84	60.18	62.46	45.45	40.39	39.29
egfra	NM_194424	6.43	6.58	6.60	10.75	9.62	9.00	7.29	8.49	8.07
tbc1d17	NM_001024394	54.99	54.89	43.62	69.11	76.98	92.52	70.04	55.54	62.85
tmf1	NM_001003522	18.17	21.36	18.56	19.06	19.29	21.42	18.29	18.77	19.73
thyn1	NM_200657	27.20	31.64	40.70	26.31	27.51	20.02	27.15	35.99	29.04
hs6st1b	NM_001080203	16.94	16.45	15.03	21.62	22.74	21.72	24.86	16.21	24.14
mir122	NR_030058	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lipia	NM_001003499	11.78	11.46	12.20	19.64	16.88	16.90	8.66	9.57	10.01
tlr22	NM_001128675	0.10	0.07	0.03	0.03	0.00	0.03	0.04	0.07	0.10
evx2	NM_131232	0.15	0.03	0.09	0.22	0.09	0.28	0.14	0.09	0.10
pms1	NM_201319	13.29	14.70	11.42	10.15	9.05	7.31	12.16	9.95	13.23
c6ast4	NM_001025180	0.24	0.14	0.22	0.27	0.22	0.00	0.00	0.23	0.00
spata6l	NM_200412	15.97	16.74	10.18	19.98	18.64	22.70	26.27	17.71	24.27
manbal	NM_001303006	44.18	45.09	46.76	44.36	48.25	46.44	39.88	46.70	41.93
mir365-1	NR_030130	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
tenm3	NM_130968	35.05	42.77	35.79	33.47	27.96	23.13	26.61	35.16	29.70
si:ch211-170d8.2	NM_001113624	40.85	44.96	28.37	28.73	34.10	48.51	72.18	46.61	56.49
pcmtd2	NM_001039921	1.34	1.11	0.77	2.44	1.09	1.98	2.69	1.10	2.80
wfikkn1	NM_214747	1.74	1.19	2.61	1.42	1.30	1.11	0.80	0.98	0.57
abhd6b	NM_001089495	0.95	0.45	0.43	1.00	0.80	1.08	0.31	1.35	0.37
ehd3	NM_001045004	5.46	6.12	7.93	7.97	8.91	7.39	3.01	7.53	4.39
zgc:153352	NM_001076671	6.78	6.91	6.79	4.58	5.08	4.75	5.80	7.28	5.36
zgc:174704	NM_001114418	56.64	53.69	54.07	35.85	41.68	52.62	79.31	41.63	71.27
nphp3	NM_001202441	7.57	9.43	8.77	7.06	6.29	5.71	8.86	9.80	9.83
and3	NM_001025511	0.76	1.23	0.92	0.62	0.78	1.14	1.31	1.49	1.36
trim62	NM_001080674	6.46	6.59	5.57	6.90	6.59	6.19	4.35	7.04	5.71
ak7b	NM_001109698	0.73	0.60	0.89	0.56	0.67	0.77	0.20	0.38	0.40
si:dkey-78l4.14	NM_001044873	27.44	25.89	32.13	23.18	24.66	17.42	14.34	28.65	18.27
spata17	NM_001142264	0.24	0.59	0.96	0.51	0.66	0.25	0.58	0.76	0.52
bmi1a	NM_194366	41.19	43.37	51.04	58.66	56.52	47.01	39.82	55.39	44.42
rgs5a	NM_199962	4.32	3.91	3.75	1.65	2.37	2.59	8.54	5.16	7.01
pskh1	NM_001020710	4.28	4.84	5.54	3.72	3.18	2.80	4.87	5.33	4.58
aldh1l1	NM_001198772	14.50	15.16	11.59	6.93	7.95	7.86	14.69	7.53	15.19
cyp46a1.2	NM_200461	0.77	0.60	1.13	3.12	2.83	0.82	0.32	1.02	0.38
hspb15	NM_001098732	0.07	0.08	0.07	0.00	0.15	0.00	0.26	0.08	0.08
szl	NM_181663	78.78	79.45	46.49	74.27	93.39	135.42	119.85	128.07	144.89
rab11ba	NM_214770	59.75	57.57	57.49	68.73	66.49	65.45	46.77	66.46	56.73
tnfrsf19	NM_001044904	18.17	18.22	18.01	16.05	15.84	16.79	16.74	20.92	19.61
gsr	NM_001020554	26.33	28.35	32.62	29.90	27.48	24.21	20.46	29.72	24.64
ppil4	NM_001128330	51.86	56.85	55.43	47.17	48.73	51.97	60.85	53.39	64.92
zgc:92066	NM_001002378	2318.98	2156.33	1614.59	2945.60	2787.30	2418.89	2010.44	1785.32	1922.47
csnk1a1	NM_152951	307.55	318.57	282.59	321.84	317.08	343.37	385.42	347.29	352.96
c19h1orf109	NM_173269	28.94	28.95	31.43	24.19	31.17	33.06	27.45	35.26	35.20
fzd8b	NM_131553	65.02	62.52	39.48	65.07	73.68	94.44	137.13	60.44	114.02
fbxl5	NM_001301328	44.13	45.18	30.20	30.17	28.63	51.68	117.95	28.57	88.08
pgam1b	NM_201300	5.56	6.57	5.64	6.58	6.52	5.69	5.11	5.58	4.25
zgc:114046	NM_001013463	11.85	11.62	7.88	35.23	32.64	29.74	6.40	14.64	9.29
atrip	NM_001044867	9.88	11.63	10.64	10.54	9.04	9.48	10.42	10.03	11.10
ndufaf1	NM_001013308	19.25	20.49	24.73	17.90	18.76	15.46	17.50	22.57	19.31
zgc:112160	NM_001017724	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
zgc:113413	NM_001013304	2.51	2.17	2.62	2.24	1.74	2.55	2.71	2.29	1.96
mrps16	NM_001006030	46.50	47.86	53.45	43.41	40.92	42.30	39.84	48.06	45.33
zgc:112998	NM_001013556	12.93	18.37	9.93	18.18	21.38	33.24	21.25	21.97	23.67
nanog	NM_001098392	6.08	4.23	4.76	6.16	7.53	16.42	23.96	26.05	18.24
zgc:110425	NM_001020746	15.66	14.20	10.75	11.92	15.88	24.07	18.47	18.06	18.38
ncoa2	NM_131777	45.13	54.52	37.43	51.82	49.54	63.45	93.15	51.37	78.53
kpna2	NM_001002335	257.31	249.48	324.17	164.82	172.48	137.75	157.97	305.74	195.60
zgc:193690	NM_001128715	2.74	2.24	4.19	3.84	3.52	1.72	0.73	3.37	2.76
ext2	NM_001008400	38.77	44.01	40.92	41.01	43.59	47.36	48.11	43.48	49.10
pvalb4	NM_212783	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rhbg	NM_200071	42.43	49.69	43.38	56.35	46.63	41.71	26.00	47.58	30.28
rgs12b	NM_214724	10.86	12.80	9.73	13.15	11.10	13.78	16.59	7.38	13.88
zgc:171459	NM_001111165	13.35	14.07	13.74	15.57	14.14	18.28	20.64	13.61	20.73
wdr45	NM_200231	30.12	29.44	24.40	30.87	30.19	27.84	29.91	25.16	29.00
glmp	NM_001004580	22.12	22.57	19.94	30.70	32.18	39.50	26.36	30.77	27.53
ska3	NM_001202437	40.82	42.08	42.40	39.33	37.46	39.09	32.13	44.14	33.43
zgc:153916	NM_001080032,NM_001290179	13.78	14.27	14.71	14.84	13.35	14.29	17.59	15.99	16.63
zgc:162193	NM_001089327	22.58	24.01	24.05	26.27	31.17	31.69	31.72	33.21	31.61
glipr1b	NM_200575	0.11	0.06	0.11	0.00	0.06	0.00	0.00	0.12	0.00
nelfa	NM_001173501	67.16	68.70	49.66	64.82	60.84	65.84	87.02	63.80	81.03
zgc:77651	NM_213247	13.88	14.99	21.65	19.26	18.34	11.06	5.79	15.85	9.33
ugt2a2	NM_001020470	1.19	1.18	1.83	3.57	2.39	2.77	0.93	1.69	2.04
hoxb7a	NM_001115091	67.83	72.20	85.49	63.00	60.85	51.15	61.69	83.31	75.75
rnd3b	NM_001002591	1.39	1.14	2.08	2.03	2.15	0.40	0.46	0.40	0.58
fbxw8	NM_001114578	12.07	11.48	10.76	11.31	13.22	10.34	12.90	10.54	11.36
tigara	NM_001039836	0.09	0.15	0.28	0.65	0.39	0.39	0.23	0.40	0.15
scn8ab	NM_001045183	0.10	0.12	0.05	0.20	0.16	0.23	0.14	0.18	0.16
ube3c	NM_200473	12.56	14.80	14.59	16.00	17.15	15.04	15.72	17.69	14.29
LOC567180	NM_001123283	8.89	10.60	8.90	15.32	14.39	12.73	11.78	8.71	12.26
zgc:101663	NM_001007437	23.68	23.88	28.64	33.01	30.97	31.04	23.04	26.57	23.51
cops7a	NM_001305596	73.53	78.41	84.49	97.69	89.64	82.85	59.54	83.43	68.65
wu:fb55f04	NR_023341	49.42	61.35	51.84	50.39	40.99	32.66	41.12	48.79	51.01
nup35	NM_200066	57.37	58.02	64.69	49.76	53.08	53.16	41.19	58.43	46.54
tnfrsf18	NM_001113524	0.00	0.24	0.11	0.24	0.24	0.12	0.00	0.00	0.12
diras1b	NM_001126421	0.00	0.00	0.00	0.00	0.16	0.49	0.19	0.33	0.17
zgc:65851	NM_199534	0.60	0.49	0.46	0.92	0.76	0.92	0.72	0.48	0.40
lyrm9	NM_001159983	15.11	13.59	16.62	12.64	11.70	10.17	8.97	15.91	8.93
or104-2	NM_131170	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00
abi1a	NM_200738	55.14	61.85	56.86	66.52	58.69	55.60	65.54	62.60	65.76
gins4	NM_001003546	20.78	20.20	22.87	22.99	22.11	19.58	17.40	19.11	18.24
syt5b	NM_001020546	1.03	0.92	0.82	0.98	1.22	0.81	1.67	1.62	1.73
carm1	NM_001003645	229.14	272.85	214.40	217.04	215.58	206.17	243.82	248.28	247.03
stambpa	NM_200498	4.90	4.66	5.29	6.41	6.28	8.01	8.85	6.07	7.29
apela	NM_001297547	147.85	130.26	129.07	179.31	187.45	219.44	271.61	148.89	233.80
tsnax	NM_001030104	23.19	26.40	22.20	21.53	25.23	24.49	33.77	23.49	28.41
tfdp2	NM_198208	95.90	100.95	79.88	58.98	54.67	55.92	81.76	74.72	74.27
selt1b	NM_178292	37.45	31.48	45.13	44.96	41.28	34.30	28.32	37.10	31.22
zgc:113452	NM_001030240	15.43	17.86	15.34	12.91	11.06	10.39	16.41	14.90	13.12
slc26a4	NM_001165915	1.31	1.19	0.17	0.40	0.87	1.28	1.62	0.62	1.64
pfn2l	NM_201466	225.88	237.28	294.65	252.27	262.63	209.67	135.15	280.56	185.70
nadka	NM_001017580	56.19	62.96	66.88	68.05	59.93	65.82	55.04	55.00	62.15
zgc:174877	NM_001113619	10.40	12.75	11.00	11.27	10.48	12.39	14.37	13.62	14.46
alp3	NM_001278839	1.70	1.65	1.88	3.89	2.59	1.51	0.53	1.12	0.81
nek7	NM_001003617	21.82	21.76	24.23	29.72	29.06	26.93	29.36	23.57	26.07
tax1bp3	NM_213470	45.32	48.46	64.43	46.38	46.07	44.06	37.11	55.49	47.92
pfkfb2a	NM_201008	0.54	0.98	0.70	0.62	0.76	0.35	0.33	0.96	0.97
wdr12	NM_199557	66.15	68.65	71.16	72.99	72.52	68.20	65.03	68.20	62.96
invs	NM_152970	8.12	8.90	6.83	5.40	5.14	5.91	13.36	9.24	12.18
ttc1	NM_001007382	48.35	44.41	47.30	45.19	46.40	48.84	53.98	54.04	53.69
tmco1	NM_001002575	109.46	103.11	120.93	135.32	147.38	151.56	96.90	116.28	103.00
si:dkeyp-85e10.2	NM_001083065	0.00	0.05	0.05	0.00	0.15	0.00	0.00	0.05	0.00
si:ch211-175m2.5	NM_001198864	1.68	0.88	1.50	1.85	1.90	2.36	2.01	2.01	1.62
zgc:113142	NM_001012488	0.00	0.10	0.09	0.10	0.05	0.15	0.00	0.05	0.05
ppp1cab	NM_212710	78.19	78.34	88.86	73.25	74.32	76.31	51.51	100.94	67.58
rab8b	NM_001099259	3.86	2.78	9.07	9.44	7.95	5.60	4.19	6.11	3.90
cry1aa	NM_001077297	2.00	2.51	2.26	7.42	6.01	7.05	3.83	2.72	2.78
dab2	NM_205757	3.94	3.67	2.96	3.17	5.18	6.34	7.39	6.80	6.55
zfp36l1a	NM_001077153	171.78	185.55	228.13	263.96	232.61	229.39	268.68	245.30	268.35
drg2	NM_212638	67.31	70.85	77.29	79.91	77.15	77.58	65.15	83.99	67.98
pygb	NM_212809	9.97	11.74	16.36	10.85	9.66	7.93	7.29	19.65	9.74
mag	NM_001007062,NM_001313857	0.05	0.00	0.00	0.15	0.05	0.05	0.00	0.05	0.00
exoc3	NM_212715	18.34	17.50	18.89	19.47	19.02	19.69	19.42	23.49	21.00
psmb6	NM_131152	287.46	259.38	249.40	260.69	268.36	260.67	230.08	226.43	220.73
pno1	NM_200548	389.81	358.93	314.93	387.27	364.15	360.89	416.62	296.34	376.80
ube2a	NM_201273	58.57	56.91	66.40	73.32	73.66	67.25	40.25	78.69	53.59
ccr10	NM_001002675	3.87	4.73	6.62	3.79	3.72	4.10	5.23	5.97	5.66
si:ch211-15p9.2	NM_001044990	0.06	0.00	0.06	0.18	0.30	0.12	0.00	0.00	0.00
dnm2b	NM_213242	9.49	10.97	13.21	9.62	7.76	5.88	5.26	10.36	5.84
haus5	NM_001007438	33.04	34.78	31.39	28.45	30.67	33.71	49.00	34.30	39.80
cfap53	NM_001045130	3.99	4.55	5.26	2.53	2.90	2.14	3.73	4.72	4.05
nitr11a	NM_001025501	0.18	0.38	0.18	0.00	0.00	0.00	0.22	0.96	0.40
ercc1	NM_001103138	31.75	29.45	25.04	31.66	33.52	34.01	31.73	26.05	29.31
ccdc127b	NM_001082883	4.43	3.58	4.87	4.46	5.42	3.08	2.54	2.89	2.59
rnf128a	NM_212615	30.13	33.07	29.24	46.89	40.74	45.77	38.42	34.58	36.40
npc2	NM_173224	726.11	718.67	732.56	1116.71	1095.79	1068.26	729.14	858.73	758.74
recql	NM_001045096	22.35	24.47	29.75	31.32	31.68	27.62	21.97	25.14	25.43
gsk3aa	NM_001044921	16.13	18.42	14.39	17.10	20.24	21.60	28.96	18.78	27.64
lman2	NM_001081747	132.12	141.10	146.86	135.35	133.92	129.44	139.37	147.98	139.86
rhbdl1	NM_001267587	0.14	0.15	0.71	0.15	0.15	0.30	0.34	0.67	0.08
mir193a-1	NR_030104	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ndufa5	NM_001013456	95.71	90.61	92.47	108.15	108.09	79.91	63.63	82.92	65.57
prmt6	NM_001163988	26.46	25.17	30.33	24.28	25.07	21.90	9.97	28.27	15.28
polr3c	NM_200232	24.84	21.98	24.36	28.07	27.78	26.54	23.49	24.85	24.15
hormad1	NM_001002357	1.18	1.89	1.73	2.74	2.56	4.60	3.94	3.96	2.88
arglu1b	NM_200162	78.68	80.04	82.62	76.95	71.94	67.82	77.81	78.93	82.00
arhgdig	NM_201157	36.81	38.37	50.84	21.71	19.19	15.82	31.14	33.27	30.23
ltb4r2a	NM_001308973	2.04	4.09	1.15	1.58	1.37	3.69	3.61	3.15	4.96
chmp2bb	NM_212904	60.79	63.51	59.52	67.25	68.91	77.53	71.49	65.11	69.19
enoph1	NM_001002226	35.19	33.63	39.39	34.91	34.89	29.30	28.04	32.06	33.31
